state,abbreviation,xOff,yOff
Alabama,AL,-10.0,0.0
Alaska,AK,20.0,-30.0
Arizona,AZ,0.0,0.0
Arkansas,AR,-10.0,0.0
California,CA,-30.0,20.0
Colorado,CO,0.0,10.0
Connecticut,CT,0.0,-3.0
Delaware,DE,-1.0,8.0
District of Columbia,DC,0.0,0.0
DC,DC,0.0,0.0
Florida,FL,50.0,-30.0
Georgia,GA,0.0,10.0
Hawaii,HI,66.0,30.0
Idaho,ID,-10.0,60.0
Illinois,IL,5.0,-10.0
Indiana,IN,0.0,0.0
Iowa,IA,0.0,0.0
Kansas,KS,0.0,0.0
Kentucky,KY,23.0,10.0
Louisiana,LA,-30.0,10.0
Maine,ME,-5.0,5.0
Montana,MT,0.0,0.0
Nebraska,NE,0.0,0.0
Nevada,NV,0.0,0.0
New Hampshire,NH,-3.0,16.0
New Jersey,NJ,8.0,0.0
New Mexico,NM,0.0,0.0
New York,NY,0.0,0.0
North Carolina,NC,0.0,0.0
North Dakota,ND,0.0,0.0
Ohio,OH,0.0,0.0
Oklahoma,OK,0.0,0.0
Oregon,OR,0.0,0.0
Maryland,MD,15.0,-5.0
Massachusetts,MA,-10.0,0.0
Michigan,MI,38.0,49.0
Minnesota,MN,-25.0,15.0
Mississippi,MS,0.0,0.0
Missouri,MO,0.0,0.0
Pennsylvania,PA,0.0,0.0
Rhode Island,RI,0.0,0.0
South Carolina,SC,0.0,0.0
South Dakota,SD,0.0,0.0
Tennessee,TN,0.0,0.0
Texas,TX,20.0,0.0
Utah,UT,0.0,0.0
Vermont,VT,0.0,0.0
Virginia,VA,24.0,10.0
Washington,WA,0.0,0.0
West Virginia,WV,-16.0,14.0
Wisconsin,WI,0.0,0.0
Wyoming,WY,0.0,0.0
